Sham,TBI0,TBI1,TBI2,TBI5
77.90363273,81.39439917,79.56486554,76.94242999,76.03927776
76.37139342,81.09870114,78.3492267,75.87817194,79.60972537
77.40092236,84.15470122,78.70817487,78.81818727,75.01654818
77.96568156,79.33444236,81.25017827,80.87031802,75.50174755
76.64465661,82.38933011,80.30325639,81.12136945,78.81160899
77.95829506,84.74314723,80.63327032,79.75221728,77.50583168
77.34213369,85.76341498,80.60467542,76.57294773,81.93840491
77.63931527,85.02645008,80.32345133,77.99488975,80.03471848
77.39219443,84.90245108,81.17771566,80.0024737,75.84906146
78.66415842,84.50501651,78.08003026,78.36540354,78.75555114
77.42052498,80.56374573,77.6277887,76.98659449,78.20950769
77.38918214,81.27796976,82.0668734,80.5067633,74.73448761
