country,total_population_in_thousands_2015,gross_national_income_per_capita_2013,life_expectancy_at_birth_female,life_expectancy_at_birth_male,life_expectancy_at_age_60_female,life_expectancy_at_age_60_male,physicians_density_per_1000,number_neonatal_deaths_in_thousands_2014,measles_immunization_oneyearolds,dpt2_vaccination_oneyearolds,fines_for_tobacco_advertising_2014,mortality_rate_cancer_2012,cigarette_price_2014,continent,ecological_footprint_2000,ecological_footprint_2012,cell_phone_subscriptions_per_100_people_2012
Afghanistan,32526.6,2000,61.3,58.6,16.6,15.2,0.304,37,66,75,No,123.6,NA,Asia,NA,NA,53.9
Albania,2896.7,10520,80.6,74.7,23.7,19.5,NA,0,98,98,Yes,123.1,NA,Europe,1.86,1.8,108.45
Algeria,39666.5,12990,77.3,73.6,22.4,21,NA,15,95,95,No,80.6,1.58,Africa,1.79,1.6,103.31
Andorra,70.5,NA,NA,NA,NA,NA,NA,0,96,97,No,NA,NA,Europe,NA,NA,74.27
Angola,25022,6770,53.1,50.2,16.2,15,NA,53,60,64,No,89.6,NA,Africa,0.82,NA,48.61
Antigua and Barbuda,91.8,20070,78.4,73.9,22.9,20.1,NA,0,98,99,No,NA,NA,North America,NA,NA,198.62
Argentina,43416.8,NA,79.8,72.5,23.7,18.7,NA,5,95,94,Yes,131.5,1.8,South America,3.79,2.7,142.51
Armenia,3017.7,8140,77.5,71.4,21.2,17.5,2.803,0,97,93,Yes,219.6,0.94,Europe,1.16,NA,106.88
Australia,23969,42540,84.6,80.7,26.7,23.9,NA,1,93,92,Yes,111,15.4,Oceania,8.49,NA,106.19
Austria,8544.6,43840,83.8,78.9,25.8,22.1,5.064,0,96,98,Yes,122,6.23,Europe,5.45,5.3,161.21
Azerbaijan,9754,16180,75.5,69.4,20.5,16.7,3.402,4,98,94,No,112.8,1.95,Europe,2.18,NA,107.47
Bahamas,388,NA,78.4,72.2,23.9,20.6,NA,0,92,96,Yes,103.8,7.25,North America,NA,NA,72.31
Bahrain,1377.2,NA,77.8,76,20.2,19,0.939,0,99,98,No,71.3,NA,Asia,NA,NA,156.23
Bangladesh,160996,2810,72.7,70.2,19.3,18.4,NA,77,88,94,Yes,87.8,0.72,Asia,0.6,0.7,63.76
Barbados,284.2,NA,77.7,72.9,21.3,17.9,NA,0,95,94,No,140.4,NA,North America,NA,NA,126.4
Belarus,9495.8,16940,77.7,66.3,21.5,15,4.07,0,99,97,Yes,117,0.89,Europe,5.27,NA,112.06
Belgium,11299.2,40280,83.3,78.4,25.7,22,2.971,0,96,99,Yes,130.3,7.31,Europe,5.88,NA,119.39
Belize,359.3,8160,72.9,67.4,18.4,15.8,NA,0,95,95,No,83.4,3.53,North America,NA,2.1,50.62
Benin,10879.8,1780,60.7,58.5,16.2,15,NA,12,68,75,Yes,89.6,NA,Africa,0.97,NA,89.91
Bhutan,774.8,7210,69.7,69.2,20.3,20.4,0.258,0,97,99,Yes,80.1,NA,Asia,0.79,NA,74.74
Bolivia (Plurinational State of),10724.7,5750,72.9,68,22.4,20.2,NA,5,99,98,Yes,106.6,1.49,South America,1.29,NA,92.64
Bosnia and Herzegovina,3810.4,9820,79.6,74.8,22,18.8,NA,0,89,86,Yes,108.9,2.17,Europe,1.29,NA,89.53
